Category,Message,tokenize,proc_message
spam,urgent you have won a 1 week free membership in our 100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,"['urgent', '1', 'week', 'free', 'membership', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']",urgent 1 week free membership 100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,"['ive', 'search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']",ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
ham,i have a date on sunday with will,"['date', 'sunday']",date sunday
spam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']",xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watching here,"['oh', 'kim', 'watch']",oh kim watch
ham,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,"['eh', 'u', 'rememb', '2', 'spell', 'name', 'ye', 'v', 'naughti', 'make', 'v', 'wet']",eh u rememb 2 spell name ye v naughti make v wet
ham,fine if thats the way u feel thats the way its gota b,"['fine', 'that', 'way', 'u', 'feel', 'that', 'way', 'gota', 'b']",fine that way u feel that way gota b
spam,england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txtú120 poboxox36504w45wq 16,"['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', '87077', 'eg', 'england', '87077', 'trywal', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']",england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 trywal scotland 4txtú120 poboxox36504w45wq 16
ham,is that seriously how you spell his name,"['serious', 'spell', 'name']",serious spell name
ham,im going to try for 2 months ha ha only joking,"['im', 'go', 'tri', '2', 'month', 'ha', 'ha', 'joke']",im go tri 2 month ha ha joke
ham,so ü pay first lar then when is da stock comin,"['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']",ü pay first lar da stock comin
ham,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']",aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
ham,ffffffffff alright no way i can meet up with you sooner,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']",ffffffffff alright way meet sooner
ham,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,"['forc', 'eat', 'slice', 'im', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']",forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
ham,lol your always so convincing,"['lol', 'alway', 'convinc']",lol alway convinc
ham,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love ,"['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']",catch bu fri egg make tea eat mom left dinner feel love
ham,im back amp were packing the car now ill let you know if theres room,"['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']",im back amp pack car ill let know there room
ham,ahhh work i vaguely remember that what does it feel like lol,"['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']",ahhh work vagu rememb feel like lol
ham,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'us']",wait that still clear sure sarcast that x doesnt want live us
ham,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you,"['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'go', 'badli', 'cheer']",yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wont go badli cheer
ham,k tell me anything about you,"['k', 'tell', 'anyth']",k tell anyth
ham,for fear of fainting with the of all that housework you just did quick have a cuppa,"['fear', 'faint', 'housework', 'quick', 'cuppa']",fear faint housework quick cuppa
spam,thanks for your subscription to ringtone uk your mobile will be charged 5month please confirm by replying yes or no if you reply no you will not be charged,"['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', '5month', 'pleas', 'confirm', 'repli', 'ye', 'repli', 'charg']",thank subscript rington uk mobil charg 5month pleas confirm repli ye repli charg
ham,yup ok i go home look at the timings then i msg ü again xuhui going to learn on 2nd may too but her lesson is at 8am,"['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ü', 'xuhui', 'go', 'learn', '2nd', 'may', 'lesson', '8am']",yup ok go home look time msg ü xuhui go learn 2nd may lesson 8am
ham,oops ill let you know when my roommates done,"['oop', 'ill', 'let', 'know', 'roommat', 'done']",oop ill let know roommat done
ham,i see the letter b on my car,"['see', 'letter', 'b', 'car']",see letter b car
ham,anything lor u decide,"['anyth', 'lor', 'u', 'decid']",anyth lor u decid
ham,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,"['hello', 'how', 'saturday', 'go', 'text', 'see', 'youd', 'decid', 'anyth', 'tomo', 'im', 'tri', 'invit', 'anyth']",hello how saturday go text see youd decid anyth tomo im tri invit anyth
ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,"['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']",pl go ahead watt want sure great weekend abiola
ham,did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']",forget tell want need crave love sweet arabian steed mmmmmm yummi
spam,07732584351  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now 08000930705 for delivery tomorrow,"['07732584351', 'rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sm', 'free', 'nokia', 'mobil', 'free', 'camcord', 'pleas', 'call', '08000930705', 'deliveri', 'tomorrow']",07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow
ham,who are you seeing,['see'],see
ham,great i hope you like your man well endowed i am  ltgt  inches,"['great', 'hope', 'like', 'man', 'well', 'endow', 'ltgt', 'inch']",great hope like man well endow ltgt inch
ham,no callsmessagesmissed calls,"['callsmessagesmiss', 'call']",callsmessagesmiss call
ham,didnt you get hep b immunisation in nigeria,"['didnt', 'get', 'hep', 'b', 'immunis', 'nigeria']",didnt get hep b immunis nigeria
ham,fair enough anything going on,"['fair', 'enough', 'anyth', 'go']",fair enough anyth go
ham,yeah hopefully if tyler cant do it i could maybe ask around a bit,"['yeah', 'hope', 'tyler', 'cant', 'could', 'mayb', 'ask', 'around', 'bit']",yeah hope tyler cant could mayb ask around bit
ham,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,"['u', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospit', 'kept', 'tell', 'mark', 'im', 'weak', 'sucker', 'hospit', 'weak', 'sucker']",u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
ham,what you thinked about me first time you saw me in class,"['think', 'first', 'time', 'saw', 'class']",think first time saw class
ham,a gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt,"['gram', 'usual', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt']",gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,"['k', 'fyi', 'x', 'ride', 'earli', 'tomorrow', 'morn', 'he', 'crash', 'place', 'tonight']",k fyi x ride earli tomorrow morn he crash place tonight
ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,"['wow', 'never', 'realiz', 'embarass', 'accomod', 'thought', 'like', 'sinc', 'best', 'could', 'alway', 'seem', 'happi', 'cave', 'im', 'sorri', 'didnt', 'dont', 'give', 'im', 'sorri', 'offer', 'im', 'sorri', 'room', 'embarass']",wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
spam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'repli', 'end', 'sptv']",sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
ham,do you know what mallika sherawat did yesterday find out now   lturlgt,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']",know mallika sherawat yesterday find lturlgt
spam,congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out,"['congrat', '1', 'year', 'special', 'cinema', 'pass', '2', 'call', '09061209465', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', '4', 'free', 'bx420ip45w', '150pm', 'dont', 'miss']",congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss
ham,sorry ill call later in meeting,"['sorri', 'ill', 'call', 'later', 'meet']",sorri ill call later meet
ham,tell where you reached,"['tell', 'reach']",tell reach
ham,yesgauti and sehwag out of odi series,"['yesgauti', 'sehwag', 'odi', 'seri']",yesgauti sehwag odi seri
ham,your gonna have to pick up a 1 burger for yourself on your way home i cant even move pain is killing me,"['gon', 'na', 'pick', '1', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'kill']",gon na pick 1 burger way home cant even move pain kill
ham,ha ha ha good joke girls are situation seekers,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situat', 'seeker']",ha ha ha good joke girl situat seeker
ham,its a part of checking iq,"['part', 'check', 'iq']",part check iq
ham,sorry my roommates took forever it ok if i come by now,"['sorri', 'roommat', 'took', 'forev', 'ok', 'come']",sorri roommat took forev ok come
ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,"['ok', 'lar', 'doubl', 'check', 'wif', 'da', 'hair', 'dresser', 'alreadi', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']",ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066364589,"['valu', 'custom', 'pleas', 'advis', 'follow', 'recent', 'review', 'mob', 'award', '1500', 'bonu', 'prize', 'call', '09066364589']",valu custom pleas advis follow recent review mob award 1500 bonu prize call 09066364589
ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,"['today', 'song', 'dedic', 'day', 'song', 'u', 'dedic', 'send', 'ur', 'valuabl', 'frnd', 'first', 'rpli']",today song dedic day song u dedic send ur valuabl frnd first rpli
spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry41 or 1000 to claim txt dis to 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj,"['urgent', 'ur', 'award', 'complimentari', 'trip', 'eurodisinc', 'trav', 'acoentry41', '1000', 'claim', 'txt', 'di', '87121', '186150morefrmmob', 'shracomorsglsuplt10', 'ls1', '3aj']",urgent ur award complimentari trip eurodisinc trav acoentry41 1000 claim txt di 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,did you hear about the new divorce barbie it comes with all of kens stuff,"['hear', 'new', 'divorc', 'barbi', 'come', 'ken', 'stuff']",hear new divorc barbi come ken stuff
ham,i plane to give on this month end,"['plane', 'give', 'month', 'end']",plane give month end
ham,wah lucky man then can save money hee,"['wah', 'lucki', 'man', 'save', 'money', 'hee']",wah lucki man save money hee
ham,finished class where are you,"['finish', 'class']",finish class
ham,hi babe im at home now wanna do something xx,"['hi', 'babe', 'im', 'home', 'wan', 'na', 'someth', 'xx']",hi babe im home wan na someth xx
ham,kkwhere are youhow did you performed,"['kkwhere', 'youhow', 'perform']",kkwhere youhow perform
ham,u can call me now,"['u', 'call']",u call
ham,i am waiting machan call me once you free,"['wait', 'machan', 'call', 'free']",wait machan call free
ham,thats cool i am a gentleman and will treat you with dignity and respect,"['that', 'cool', 'gentleman', 'treat', 'digniti', 'respect']",that cool gentleman treat digniti respect
ham,i like you peoples very much but am very shy pa,"['like', 'peopl', 'much', 'shi', 'pa']",like peopl much shi pa
ham,does not operate after  ltgt  or what,"['oper', 'ltgt']",oper ltgt
ham,its not the same here still looking for a job how much do tas earn there,"['still', 'look', 'job', 'much', 'ta', 'earn']",still look job much ta earn
ham,sorry ill call later,"['sorri', 'ill', 'call', 'later']",sorri ill call later
ham,k did you call me just now ah,"['k', 'call', 'ah']",k call ah
ham,ok i am on the way to home hi hi,"['ok', 'way', 'home', 'hi', 'hi']",ok way home hi hi
ham,you will be in the place of that man,"['place', 'man']",place man
ham,yup next stop,"['yup', 'next', 'stop']",yup next stop
ham,i call you later dont have network if urgnt sms me,"['call', 'later', 'dont', 'network', 'urgnt', 'sm']",call later dont network urgnt sm
ham,for real when u getting on yo i only need 2 more tickets and one more jacket and im done i already used all my multis,"['real', 'u', 'get', 'yo', 'need', '2', 'ticket', 'one', 'jacket', 'im', 'done', 'alreadi', 'use', 'multi']",real u get yo need 2 ticket one jacket im done alreadi use multi
ham,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,"['ye', 'start', 'send', 'request', 'make', 'pain', 'came', 'back', 'im', 'back', 'bed', 'doubl', 'coin', 'factori', 'got', 'ta', 'cash', 'nitro']",ye start send request make pain came back im back bed doubl coin factori got ta cash nitro
ham,im really not up to it still tonight babe,"['im', 'realli', 'still', 'tonight', 'babe']",im realli still tonight babe
ham,ela kanoil download come wen ur free,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']",ela kanoil download come wen ur free
ham,yeah do dont stand to close tho youll catch something,"['yeah', 'dont', 'stand', 'close', 'tho', 'youll', 'catch', 'someth']",yeah dont stand close tho youll catch someth
ham,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuff42moro and that includes all my time sheets and that sorry,"['sorri', 'pain', 'ok', 'meet', 'anoth', 'night', 'spent', 'late', 'afternoon', 'casualti', 'mean', 'havent', 'done', 'stuff42moro', 'includ', 'time', 'sheet', 'sorri']",sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff42moro includ time sheet sorri
ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling,"['smile', 'pleasur', 'smile', 'pain', 'smile', 'troubl', 'pour', 'like', 'rain', 'smile', 'sum1', 'hurt', 'u', 'smile', 'becoz', 'someon', 'still', 'love', 'see', 'u', 'smile']",smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile
spam,please call our customer service representative on 0800 169 6031 between 10am9pm as you have won a guaranteed 1000 cash or 5000 prize,"['pleas', 'call', 'custom', 'servic', 'repres', '0800', '169', '6031', '10am9pm', 'guarante', '1000', 'cash', '5000', 'prize']",pleas call custom servic repres 0800 169 6031 10am9pm guarante 1000 cash 5000 prize
ham,havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already,"['havent', 'plan', 'buy', 'later', 'check', 'alreadi', 'lido', 'got', '530', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'alreadi']",havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi
spam,your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16,"['free', 'rington', 'wait', 'collect', 'simpli', 'text', 'password', 'mix', '85069', 'verifi', 'get', 'usher', 'britney', 'fml', 'po', 'box', '5249', 'mk17', '92h', '450ppw', '16']",free rington wait collect simpli text password mix 85069 verifi get usher britney fml po box 5249 mk17 92h 450ppw 16
ham,watching telugu moviewat abt u,"['watch', 'telugu', 'moviewat', 'abt', 'u']",watch telugu moviewat abt u
ham,i see when we finish we have loads of loans to pay,"['see', 'finish', 'load', 'loan', 'pay']",see finish load loan pay
ham,hi wk been ok  on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u,"['hi', 'wk', 'ok', 'hol', 'ye', 'bit', 'run', 'forgot', 'hairdress', 'appoint', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'caus', 'prob', 'u']",hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u
ham,i see a cup of coffee animation,"['see', 'cup', 'coffe', 'anim']",see cup coffe anim
ham,please dont text me anymore i have nothing else to say,"['pleas', 'dont', 'text', 'anymor', 'noth', 'els', 'say']",pleas dont text anymor noth els say
ham,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'am', 'xx']",okay name ur price long legal wen pick u ave x am xx
ham,im still looking for a car to buy and have not gone 4the driving test yet,"['im', 'still', 'look', 'car', 'buy', 'gone', '4the', 'drive', 'test', 'yet']",im still look car buy gone 4the drive test yet
ham,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,"['wow', 'your', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'chang', 'search', 'locat', 'nyc', 'someth', 'chang', 'cuz', 'signin', 'page', 'still', 'say', 'boston']",wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
ham,umma my life and vava umma love you lot dear,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']",umma life vava umma love lot dear
ham,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,"['thank', 'lot', 'wish', 'birthday', 'thank', 'make', 'birthday', 'truli', 'memor']",thank lot wish birthday thank make birthday truli memor
ham,aight ill hit you up when i get some cash,"['aight', 'ill', 'hit', 'get', 'cash']",aight ill hit get cash
ham,how would my ip address test that considering my computer isnt a minecraft server,"['would', 'ip', 'address', 'test', 'consid', 'comput', 'isnt', 'minecraft', 'server']",would ip address test consid comput isnt minecraft server
ham,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,"['know', 'grumpi', 'old', 'peopl', 'mom', 'like', 'better', 'lie', 'alway', 'one', 'play', 'joke']",know grumpi old peopl mom like better lie alway one play joke
ham,dont worry i guess hes busy,"['dont', 'worri', 'guess', 'he', 'busi']",dont worri guess he busi
ham,what is the plural of the noun research,"['plural', 'noun', 'research']",plural noun research
ham,going for dinnermsg you after,"['go', 'dinnermsg']",go dinnermsg
ham,im ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud,"['im', 'ok', 'wif', 'co', 'like', '2', 'tri', 'new', 'thing', 'scare', 'u', 'dun', 'like', 'mah', 'co', 'u', 'said', 'loud']",im ok wif co like 2 tri new thing scare u dun like mah co u said loud
spam,gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm,"['gent', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', '1000', 'prize', 'guarante', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hr', '150ppm']",gent tri contact last weekend draw show 1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm
ham,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened,"['wa', 'ur', 'openin', 'sentenc', 'formal', 'anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happen']",wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen
ham,as i entered my cabin my pa said  happy bday boss  i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,"['enter', 'cabin', 'pa', 'said', 'happi', 'bday', 'boss', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invit', 'apart', 'went']",enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went
spam,you are a winner u have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910pmin 18,"['winner', 'u', 'special', 'select', '2', 'receiv', '1000', '4', 'holiday', 'flight', 'inc', 'speak', 'live', 'oper', '2', 'claim', '0871277810910pmin', '18']",winner u special select 2 receiv 1000 4 holiday flight inc speak live oper 2 claim 0871277810910pmin 18
ham,goodo yes we must speak friday  eggpotato ratio for tortilla needed,"['goodo', 'ye', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'need']",goodo ye must speak friday eggpotato ratio tortilla need
ham,hmmmy uncle just informed me that hes paying the school directly so pls buy food,"['hmmmi', 'uncl', 'inform', 'he', 'pay', 'school', 'directli', 'pl', 'buy', 'food']",hmmmi uncl inform he pay school directli pl buy food
spam,private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires,"['privat', '2004', 'account', 'statement', '07742676969', 'show', '786', 'unredeem', 'bonu', 'point', 'claim', 'call', '08719180248', 'identifi', 'code', '45239', 'expir']",privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir
spam,urgent your mobile no was awarded 2000 bonus caller prize on 5903 this is our final try to contact u call from landline 09064019788 box42wr29c 150ppm,"['urgent', 'mobil', 'award', '2000', 'bonu', 'caller', 'prize', '5903', 'final', 'tri', 'contact', 'u', 'call', 'landlin', '09064019788', 'box42wr29c', '150ppm']",urgent mobil award 2000 bonu caller prize 5903 final tri contact u call landlin 09064019788 box42wr29c 150ppm
ham,here is my new address applespairsall that malarky,"['new', 'address', 'applespairsal', 'malarki']",new address applespairsal malarki
spam,todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app,"['today', 'voda', 'number', 'end', '7548', 'select', 'receiv', '350', 'award', 'match', 'pleas', 'call', '08712300220', 'quot', 'claim', 'code', '4041', 'standard', 'rate', 'app']",today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app
ham,i am going to sao mu today will be done only at 12,"['go', 'sao', 'mu', 'today', 'done', '12']",go sao mu today done 12
ham,ü predict wat time üll finish buying,"['ü', 'predict', 'wat', 'time', 'üll', 'finish', 'buy']",ü predict wat time üll finish buy
ham,good stuff will do,"['good', 'stuff']",good stuff
ham,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise,"['knowyetund', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'send', 'dont', 'involv', 'anyth', 'shouldnt', 'impos', 'anyth', 'first', 'place', 'apologis']",knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis
ham,are you there in room,['room'],room
ham,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx']",hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,kkhow much does it cost,"['kkhow', 'much', 'cost']",kkhow much cost
ham,im home,"['im', 'home']",im home
ham,dear will call tmorrowpls accomodate,"['dear', 'call', 'tmorrowpl', 'accomod']",dear call tmorrowpl accomod
ham,first answer my question,"['first', 'answer', 'question']",first answer question
